Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Aug-24,EQ,"1,924.00","1,944.00","1,882.50","1,908.20","1,895.25","1,892.45","1,903.84","2,338.75","1,798.25","60,245","11,46,96,890.75","7,398"
23-Aug-24,EQ,"1,928.10","1,935.50","1,901.95","1,927.75","1,907.80","1,908.20","1,913.40","2,338.75","1,798.25","56,091","10,73,24,592.45","6,648"
22-Aug-24,EQ,"1,925.00","1,960.00","1,913.10","1,919.05","1,925.00","1,927.75","1,940.32","2,338.75","1,798.25","80,965","15,70,98,200.90","8,889"
21-Aug-24,EQ,"1,935.45","1,935.45","1,909.95","1,925.10","1,925.00","1,919.05","1,920.44","2,338.75","1,798.25","55,168","10,59,47,093.75","7,140"
20-Aug-24,EQ,"1,950.00","1,957.95","1,919.15","1,938.45","1,927.40","1,925.10","1,931.24","2,338.75","1,798.25","45,357","8,75,95,057.45","6,602"
19-Aug-24,EQ,"1,924.80","1,969.00","1,903.05","1,909.35","1,933.20","1,938.45","1,944.78","2,338.75","1,798.25","1,25,906","24,48,59,823.00","15,630"
16-Aug-24,EQ,"1,915.00","1,931.95","1,894.15","1,899.10","1,913.00","1,909.35","1,909.90","2,338.75","1,798.25","80,515","15,37,75,685.65","12,721"
14-Aug-24,EQ,"1,915.00","1,923.00","1,861.25","1,903.45","1,892.00","1,899.10","1,889.70","2,338.75","1,798.25","1,29,951","24,55,68,874.00","16,778"
13-Aug-24,EQ,"1,853.00","1,998.00","1,841.80","1,840.20","1,905.00","1,903.45","1,942.11","2,338.75","1,798.25","10,89,078","2,11,51,10,728.10","82,665"
12-Aug-24,EQ,"1,803.00","1,869.95","1,803.00","1,845.35","1,848.50","1,840.20","1,833.66","2,338.75","1,798.25","1,39,197","25,52,39,420.05","18,257"
09-Aug-24,EQ,"1,882.05","1,883.00","1,820.00","1,844.95","1,843.90","1,845.35","1,849.73","2,338.75","1,798.25","1,36,296","25,21,11,142.75","16,552"
08-Aug-24,EQ,"1,878.00","1,911.00","1,840.00","1,865.45","1,848.50","1,844.95","1,869.35","2,338.75","1,798.25","1,41,615","26,47,28,396.50","17,917"
07-Aug-24,EQ,"1,844.00","1,878.00","1,822.20","1,808.65","1,870.00","1,865.45","1,847.40","2,338.75","1,798.25","82,415","15,22,53,362.35","12,422"
06-Aug-24,EQ,"1,874.65","1,953.45","1,798.25","1,859.55","1,814.95","1,808.65","1,845.54","2,338.75","1,798.25","2,48,225","45,81,09,533.90","29,071"
05-Aug-24,EQ,"1,892.00","1,915.15","1,851.50","1,947.10","1,864.80","1,859.55","1,876.26","2,338.75","1,800.05","2,05,008","38,46,48,035.30","29,650"
02-Aug-24,EQ,"1,999.50","2,009.15","1,935.00","2,023.75","1,955.00","1,947.10","1,972.84","2,338.75","1,800.05","1,94,042","38,28,13,658.30","19,197"
01-Aug-24,EQ,"2,025.00","2,092.25","2,016.00","2,047.15","2,022.90","2,023.75","2,045.45","2,338.75","1,800.05","1,76,773","36,15,80,969.50","19,222"
31-Jul-24,EQ,"2,121.00","2,158.00","1,994.10","2,104.45","2,028.15","2,047.15","2,107.77","2,338.75","1,800.05","4,78,101","1,00,77,28,711.65","42,861"
30-Jul-24,EQ,"2,105.50","2,140.20","2,075.25","2,088.55","2,107.60","2,104.45","2,114.75","2,338.75","1,800.05","1,72,004","36,37,45,394.30","19,570"
29-Jul-24,EQ,"2,050.85","2,095.45","2,034.50","2,025.55","2,087.00","2,088.55","2,068.19","2,338.75","1,798.25","1,72,772","35,73,25,006.85","17,643"
26-Jul-24,EQ,"2,019.00","2,073.00","2,002.00","2,004.85","2,038.00","2,025.55","2,041.00","2,338.75","1,798.25","1,08,018","22,04,64,267.80","11,172"
25-Jul-24,EQ,"1,985.05","2,025.00","1,952.00","1,991.30","2,005.00","2,004.85","2,001.60","2,338.75","1,761.10","1,31,211","26,26,31,655.45","12,110"
24-Jul-24,EQ,"1,946.00","2,036.60","1,945.00","1,941.50","2,000.00","1,991.30","2,013.13","2,338.75","1,761.10","3,71,611","74,81,00,727.00","30,096"
23-Jul-24,EQ,"2,013.45","2,013.45","1,882.10","1,988.50","1,945.00","1,941.50","1,966.88","2,338.75","1,761.10","1,61,868","31,83,75,070.45","20,378"
22-Jul-24,EQ,"1,946.55","1,997.30","1,918.45","1,947.80","1,990.00","1,988.50","1,969.46","2,338.75","1,761.10","1,34,888","26,56,57,130.65","18,710"
19-Jul-24,EQ,"2,029.90","2,044.00","1,926.10","2,032.85","1,949.05","1,947.80","1,963.80","2,338.75","1,761.10","3,92,374","77,05,45,172.40","42,260"
18-Jul-24,EQ,"2,088.10","2,101.45","2,021.75","2,086.45","2,042.00","2,032.85","2,050.09","2,338.75","1,761.10","1,49,275","30,60,26,837.55","17,823"
16-Jul-24,EQ,"2,122.80","2,141.00","2,071.50","2,118.45","2,095.00","2,086.45","2,107.25","2,338.75","1,761.10","1,72,623","36,37,59,169.85","16,987"
15-Jul-24,EQ,"2,142.10","2,159.40","2,100.00","2,123.00","2,119.00","2,118.45","2,130.31","2,338.75","1,761.10","1,31,320","27,97,51,926.70","15,951"
12-Jul-24,EQ,"2,214.00","2,229.70","2,029.95","2,212.30","2,135.00","2,123.00","2,157.80","2,338.75","1,761.10","2,33,370","50,35,66,807.75","20,544"
11-Jul-24,EQ,"2,239.40","2,246.20","2,201.25","2,231.45","2,218.45","2,212.30","2,216.88","2,338.75","1,761.10","1,57,048","34,81,56,524.05","13,004"
10-Jul-24,EQ,"2,295.00","2,311.00","2,186.40","2,286.70","2,233.00","2,231.45","2,240.86","2,338.75","1,761.10","4,38,251","98,20,61,301.35","32,342"
09-Jul-24,EQ,"2,245.90","2,338.75","2,238.70","2,231.80","2,298.00","2,286.70","2,290.13","2,338.75","1,761.10","6,88,270","1,57,62,26,132.95","43,189"
08-Jul-24,EQ,"2,158.00","2,319.75","2,130.70","2,149.60","2,238.65","2,231.80","2,257.78","2,319.75","1,761.10","12,63,222","2,85,20,77,199.85","92,697"
05-Jul-24,EQ,"2,166.90","2,198.00","2,125.30","2,148.90","2,146.80","2,149.60","2,156.56","2,277.00","1,759.95","2,33,214","50,29,39,611.95","19,416"
